                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.74267,                0.65544,                      1,                0.77913,                0.76303,                0.83678,                0.64707,                0.80105,                0.80008,                 1.1073,                0.00307,                0.00307,                0.00307
                     37,                0.73084,                0.64903,                0.99598,                0.77775,                0.76664,                0.83743,                0.65002,                0.79912,                0.79511,                 1.1073,               0.002872,               0.002872,               0.002872
                     38,                0.73359,                0.64935,                0.99993,                0.78301,                0.76176,                0.83892,                0.64873,                0.80101,                 0.7927,                 1.1124,               0.002674,               0.002674,               0.002674
                     39,                0.72189,                0.63769,                0.99205,                0.78628,                0.75633,                0.83813,                0.65026,                0.79835,                0.79165,                  1.109,               0.002476,               0.002476,               0.002476
                     40,                0.71599,                0.63282,                0.99272,                0.78079,                0.76064,                0.83682,                0.64987,                0.79598,                0.79561,                 1.1087,               0.002278,               0.002278,               0.002278
                     41,                0.60625,                0.55246,                 0.9198,                0.77522,                 0.7642,                0.83678,                0.65095,                0.78933,                0.79652,                 1.1102,                0.00208,                0.00208,                0.00208
                     42,                0.59529,                0.54143,                0.92059,                0.78004,                0.76442,                0.83869,                0.65237,                0.78805,                0.78906,                 1.1108,               0.001882,               0.001882,               0.001882
                     43,                0.58719,                0.53548,                0.91581,                0.77946,                0.76232,                0.83733,                0.65191,                0.78792,                0.79042,                 1.1102,               0.001684,               0.001684,               0.001684
                     44,                0.57861,                0.52359,                0.90839,                0.77987,                0.75951,                0.83745,                0.65307,                0.78558,                0.78766,                 1.1087,               0.001486,               0.001486,               0.001486
                     45,                0.56206,                0.51092,                0.90587,                0.77559,                0.76313,                0.83808,                0.65496,                0.78245,                0.78521,                 1.1062,               0.001288,               0.001288,               0.001288
                     46,                0.56165,                0.50561,                0.90396,                0.77909,                0.75823,                0.83774,                0.65567,                0.78167,                0.78425,                 1.1053,                0.00109,                0.00109,                0.00109
                     47,                0.55758,                0.50423,                0.90107,                0.77501,                0.75932,                 0.8377,                0.65487,                0.78135,                0.78566,                 1.1049,               0.000892,               0.000892,               0.000892
                     48,                0.54759,                0.48927,                0.89871,                0.78024,                0.75501,                0.83738,                 0.6553,                0.78155,                0.78597,                 1.1059,               0.000694,               0.000694,               0.000694
                     49,                0.53899,                0.48306,                0.89624,                0.78402,                0.75033,                0.83695,                0.65564,                0.78229,                0.78616,                 1.1068,               0.000496,               0.000496,               0.000496
                     50,                0.53822,                0.47712,                0.89897,                0.77346,                0.76045,                0.83765,                0.65545,                0.78284,                0.78699,                 1.1071,               0.000298,               0.000298,               0.000298
